Datum	Tid	Väg	Totalt antal påstigande	lat	lon
07/06/24	13.47	IN	73	57.574184	11.7782755
07/06/24	16.34	IN	136	57.574184	11.7782755
07/06/24	17.24	IN	53	57.574184	11.7782755
07/06/24	18.57	IN	28	57.574184	11.7782755
07/06/24	20.12	IN	36	57.574184	11.7782755
08/06/24	09.25	UT	76	57.659177	11.839656
08/06/24	12.10	UT	43	57.659177	11.839656
08/06/24	13.10	UT	21	57.659177	11.839656
08/06/24	14.10	UT	77	57.659177	11.839656
08/06/24	15.40	UT	23	57.659177	11.839656
08/06/24	16.40	UT	3	57.659177	11.839656
08/06/24	10.29	IN	155	57.574184	11.7782755
08/06/24	13.02	IN	5	57.574184	11.7782755
08/06/24	14.02	IN	8	57.574184	11.7782755
08/06/24	15.05	IN	10	57.574184	11.7782755
08/06/24	16.32	IN	51	57.574184	11.7782755
08/06/24	17.37	IN	36	57.574184	11.7782755
09/06/24	06.15	UT	10	57.659177	11.839656
09/06/24	08.02	UT	20	57.659177	11.839656
09/06/24	09.25	UT	26	57.659177	11.839656
09/06/24	12.30	UT	40	57.659177	11.839656
09/06/24	06.02	IN	9	57.574184	11.7782755
09/06/24	07.32	IN	20	57.574184	11.7782755
09/06/24	09.12	IN	53	57.574184	11.7782755
09/06/24	10.29	IN	114	57.574184	11.7782755
09/06/24	13.42	IN	84	57.574184	11.7782755
10/06/24	05.11	UT	2	57.659177	11.839656
10/06/24	06.08	UT	31	57.659177	11.839656
10/06/24	07.54	UT	80	57.659177	11.839656
10/06/24	09.20	UT	70	57.659177	11.839656
10/06/24	11.50	UT	21	57.659177	11.839656
10/06/24	12.50	UT	12	57.659177	11.839656
10/06/24	15.30	UT	104	57.659177	11.839656
10/06/24	16.40	UT	26	57.659177	11.839656
10/06/24	17.37	UT	94	57.659177	11.839656
10/06/24	19.05	UT	35	57.659177	11.839656
10/06/24	05.06	IN	12	57.574184	11.7782755
10/06/24	05.58	IN	41	57.574184	11.7782755
10/06/24	06.55	IN	105	57.574184	11.7782755
10/06/24	07.21	IN	99	57.574184	11.7782755
10/06/24	10.12	IN	73	57.574184	11.7782755
10/06/24	12.42	IN	141	57.574184	11.7782755
10/06/24	13.47	IN	98	57.574184	11.7782755
10/06/24	16.34	IN	65	57.574184	11.7782755
10/06/24	17.24	IN	20	57.574184	11.7782755
10/06/24	18.57	IN	17	57.574184	11.7782755
10/06/24	20.12	IN	25	57.574184	11.7782755
11/06/24	05.11	UT	4	57.659177	11.839656
11/06/24	06.08	UT	0	57.659177	11.839656
11/06/24	07.25	UT	51	57.659177	11.839656
